episode,phase,step0_tool,reward,success,top_patterns
0,Tool Familiarization,standard,-1.0,0,re_findall:0.172|arithmetic:0.172|list_modules:0.165
1,Tool Familiarization,standard,1.0,1,re_findall:0.172|arithmetic:0.172|list_modules:0.165
2,Tool Familiarization,standard,-1.0,0,arithmetic:0.159|re_findall:0.153|list_modules:0.143
3,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.220|arithmetic:0.149|re_findall:0.145
4,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.325|arithmetic:0.134|re_findall:0.133
5,Tool Familiarization,standard,1.0,1,sympy.sympify:0.325|arithmetic:0.134|re_findall:0.133
6,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.407|sympy.sympify:0.132|re_findall:0.097
7,Tool Familiarization,standard,1.0,1,sympy.sympify:0.407|sympy.sympify:0.132|sympy.sympify:0.100
8,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.408|sympy.sympify:0.194|sympy.sympify:0.129
9,Tool Familiarization,standard,1.0,1,sympy.sympify:0.408|sympy.sympify:0.194|sympy.sympify:0.129
10,Tool Familiarization,standard,1.0,1,sympy.sympify:0.408|sympy.sympify:0.194|sympy.sympify:0.129
11,Tool Familiarization,standard,1.0,1,sympy.sympify:0.408|sympy.sympify:0.194|sympy.sympify:0.129
12,Tool Familiarization,standard,1.0,1,sympy.sympify:0.408|sympy.sympify:0.194|sympy.sympify:0.129
13,Tool Familiarization,standard,1.0,1,sympy.sympify:0.408|sympy.sympify:0.194|sympy.sympify:0.129
14,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.239|sympy.sympify:0.178|sympy.sympify:0.124
15,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.207|sympy.sympify:0.177|sympy.sympify:0.152
16,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.211|sympy.sympify:0.171|sympy.sympify:0.131
17,Tool Familiarization,standard,1.0,1,sympy.sympify:0.211|sympy.sympify:0.171|sympy.sympify:0.131
18,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.175|sympy.sympify:0.169|sympy.sympify:0.140
19,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.170|sympy.sympify:0.163|sympy.sympify:0.154
20,Tool Familiarization,standard,1.0,1,sympy.sympify:0.170|sympy.sympify:0.163|sympy.sympify:0.154
21,Tool Familiarization,standard,1.0,1,sympy.sympify:0.170|sympy.sympify:0.163|sympy.sympify:0.154
22,Tool Familiarization,standard,1.0,1,sympy.sympify:0.170|sympy.sympify:0.163|sympy.sympify:0.154
23,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.142|sympy.sympify:0.134|sympy.sympify:0.120
24,Tool Familiarization,standard,1.0,1,sympy.sympify:0.142|sympy.sympify:0.134|sympy.sympify:0.120
25,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.135|sympy.sympify:0.118|sympy.sympify:0.101
26,Tool Familiarization,standard,1.0,1,sympy.sympify:0.135|sympy.sympify:0.118|sympy.sympify:0.101
27,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.120|sympy.sympify:0.113|sympy.sympify:0.109
28,Tool Familiarization,standard,1.0,1,sympy.sympify:0.120|sympy.sympify:0.113|sympy.sympify:0.109
29,Tool Familiarization,standard,1.0,1,sympy.sympify:0.120|sympy.sympify:0.113|sympy.sympify:0.109
30,Tool Familiarization,standard,1.0,1,sympy.sympify:0.120|sympy.sympify:0.113|sympy.sympify:0.109
31,Tool Familiarization,standard,1.0,1,sympy.sympify:0.100|sympy.sympify:0.089|sympy.sympify:0.086
32,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.149|sympy.sympify:0.138|sympy.sympify:0.123
33,Tool Familiarization,standard,1.0,1,sympy.sympify:0.149|sympy.sympify:0.138|sympy.sympify:0.123
34,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.169|sympy.sympify:0.167|sympy.sympify:0.127
35,Tool Familiarization,standard,1.0,1,sympy.sympify:0.169|sympy.sympify:0.167|sympy.sympify:0.127
36,Tool Familiarization,standard,1.0,1,sympy.sympify:0.156|sympy.sympify:0.150|sympy.sympify:0.115
37,Tool Familiarization,standard,1.0,1,sympy.sympify:0.156|sympy.sympify:0.150|sympy.sympify:0.115
38,Tool Familiarization,standard,1.0,1,sympy.sympify:0.129|sympy.sympify:0.122|sympy.sympify:0.100
39,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.135|sympy.sympify:0.129|operator.add:0.111
40,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.168|sympy.sympify:0.151|operator.add:0.118
41,Tool Familiarization,standard,1.0,1,sympy.sympify:0.168|sympy.sympify:0.151|operator.add:0.118
42,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.180|sympy.sympify:0.150|operator.add:0.099
43,Tool Familiarization,standard,1.0,1,sympy.sympify:0.180|sympy.sympify:0.150|sympy.sympify:0.100
44,Tool Familiarization,standard,1.0,1,sympy.sympify:0.180|sympy.sympify:0.150|sympy.sympify:0.100
45,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.170|sympy.sympify:0.130|sympy.sympify:0.086
46,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.191|sympy.sympify:0.124|sympy.sympify:0.095
47,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.209|sympy.sympify:0.118|sympy.sympify:0.100
48,Tool Familiarization,standard,1.0,1,sympy.sympify:0.209|sympy.sympify:0.118|sympy.sympify:0.100
49,Tool Familiarization,standard,1.0,1,sympy.sympify:0.209|sympy.sympify:0.118|sympy.sympify:0.100
50,Tool Familiarization,standard,1.0,1,sympy.sympify:0.209|sympy.sympify:0.118|sympy.sympify:0.100
51,Tool Familiarization,standard,1.0,1,sympy.sympify:0.209|sympy.sympify:0.118|sympy.sympify:0.100
52,Tool Familiarization,standard,1.0,1,sympy.sympify:0.209|sympy.sympify:0.118|sympy.sympify:0.100
53,Tool Familiarization,standard,1.0,1,sympy.sympify:0.209|sympy.sympify:0.118|sympy.sympify:0.100
54,Tool Familiarization,standard,1.0,1,sympy.sympify:0.209|sympy.sympify:0.118|sympy.sympify:0.100
55,Tool Familiarization,standard,1.0,1,sympy.sympify:0.118|sympy.sympify:0.100|sympy.sympify:0.065
56,Tool Familiarization,standard,-1.0,0,sympy.sympify:0.100|sympy.sympify:0.100|sympy.sympify:0.088
57,Tool Familiarization,standard,1.0,1,re.findall:0.100|sympy.sympify:0.100|sympy.sympify:0.100
58,Tool Expansion,standard,-1.0,0,sympy.sympify:0.122|sympy.sympify:0.120|sympy.sympify:0.100
59,Tool Expansion,standard,-1.0,0,sympy.sympify:0.144|sympy.sympify:0.144|sympy.sympify:0.108
60,Tool Expansion,standard,-1.0,0,sympy.sympify:0.166|sympy.sympify:0.158|sympy.sympify:0.115
61,Tool Expansion,standard,1.0,1,sympy.sympify:0.166|sympy.sympify:0.158|sympy.sympify:0.115
