episode,phase,step0_tool,reward,success,top_patterns
0,Tool Expansion,meta_guided,1.0,1,operator.add:0.620|sympy.sympify:0.243|sympy.sympify:0.115
0,Tool Familiarization,meta_guided,1.0,1,operator.add:0.776|operator.add:0.198|sympy.sympify:0.100
10,Tool Familiarization,meta_guided,1.0,1,sympy.sympify:0.797|sympy.sympify:0.129|operator.add:0.100
20,Tool Familiarization,meta_guided,-1.0,0,operator.add:0.210|operator.add:0.195|operator.add:0.170
30,Tool Familiarization,meta_guided,-1.0,0,operator.add:0.949|operator.add:0.048|sympy.sympify:0.001
40,Tool Familiarization,meta_guided,1.0,1,operator.add:0.952|operator.add:0.100|operator.add:0.100
50,Tool Expansion,meta_guided,-1.0,0,operator.add:0.212|operator.add:0.155|sympy.sympify:0.102
60,Tool Expansion,meta_guided,1.0,1,math.sqrt:0.350|math.sqrt:0.100|math.sqrt:0.086
70,NLP Tool Mastery,meta_guided,1.0,1,math.sqrt:0.191|builtins.len:0.175|math.sqrt:0.156
80,NLP Tool Mastery,meta_guided,-1.0,0,builtins.len:0.331|builtins.len:0.286|builtins.len:0.153
90,Sensory Conversion Mastery,meta_guided,1.0,1,builtins.len:0.231|builtins.len:0.100|builtins.len:0.094
100,Container Mastery,meta_guided,1.0,1,builtins.len:0.316|builtins.len:0.197|builtins.len:0.157
110,Container Mastery,meta_guided,1.0,1,operator.getitem:0.198|operator.getitem:0.170|operator.getitem:0.159
120,Container Mastery,meta_guided,1.0,1,operator.getitem:0.674|operator.getitem:0.263|operator.getitem:0.100
130,Container Mastery,meta_guided,1.0,1,operator.getitem:0.490|operator.getitem:0.228|operator.getitem:0.135
140,Container Mastery,meta_guided,1.0,1,operator.getitem:0.249|operator.getitem:0.145|operator.getitem:0.136
150,Sensory Priming,meta_guided,1.0,1,re.findall:0.279|operator.getitem:0.188|operator.getitem:0.171
160,Sensory Priming,meta_guided,-1.0,0,re.findall:0.272|re.findall:0.241|re.findall:0.142
170,Sensory Priming,meta_guided,-1.0,0,re.findall:0.311|re.findall:0.248|re.findall:0.222
180,Sensory Priming,meta_guided,1.0,1,re.findall:0.268|re.findall:0.212|re.findall:0.180
190,Sensory Priming,meta_guided,-1.0,0,re.findall:0.243|re.findall:0.237|re.findall:0.151
200,Hierarchical Chaining,meta_guided,-1.0,0,re.findall:0.175|re.findall:0.145|re.findall:0.141
0,Tool Familiarization,meta_guided,-1.0,0,operator.add:0.385|operator.add:0.349|operator.add:0.265
10,Tool Familiarization,meta_guided,1.0,1,sympy.sympify:0.635|sympy.sympify:0.208|sympy.sympify:0.119
20,Tool Expansion,meta_guided,-1.0,0,sympy.sympify:0.327|sympy.sympify:0.239|sympy.sympify:0.191
30,Tool Expansion,meta_guided,1.0,1,math.sqrt:0.295|math.sqrt:0.278|math.sqrt:0.132
40,NLP Tool Mastery,meta_guided,1.0,1,math.sqrt:0.111|operator.gt:0.101|operator.gt:0.100
50,NLP Tool Mastery,meta_guided,1.0,1,operator.gt:0.237|operator.gt:0.120|math.sqrt:0.118
60,NLP Tool Mastery,meta_guided,1.0,1,operator.gt:0.444|operator.gt:0.187|operator.gt:0.183
70,NLP Tool Mastery,meta_guided,1.0,1,operator.gt:0.210|operator.gt:0.148|operator.gt:0.100
80,NLP Tool Mastery,meta_guided,1.0,1,operator.gt:0.675|operator.gt:0.100|operator.gt:0.094
90,Sensory Conversion Mastery,meta_guided,1.0,1,operator.gt:0.364|operator.gt:0.189|operator.gt:0.145
100,Container Mastery,meta_guided,1.0,1,operator.gt:0.189|sympy.sympify:0.093|sympy.sympify:0.093
110,Container Mastery,meta_guided,-1.0,0,re.findall:0.246|re.findall:0.214|operator.getitem:0.131
120,Container Mastery,meta_guided,1.0,1,operator.getitem:0.218|operator.getitem:0.171|operator.getitem:0.151
130,Hierarchical Chaining,meta_guided,1.0,1,operator.getitem:0.301|re.findall:0.166|re.findall:0.153
140,Hierarchical Chaining,meta_guided,-1.0,0,builtins.float:0.997|math.sqrt:0.002|builtins.float:0.000
150,Hierarchical Chaining,meta_guided,-1.0,0,builtins.float:0.214|builtins.float:0.163|builtins.float:0.163
160,Arithmetic Reasoning,meta_guided,-1.0,0,builtins.float:0.708|builtins.float:0.144|builtins.float:0.076
170,Linguistic Analysis,meta_guided,1.0,1,sympy.sympify:0.171|math.sqrt:0.165|re.findall:0.164
180,Linguistic Analysis,meta_guided,1.0,1,textblob.TextBlob:0.273|textblob.TextBlob:0.174|textblob.TextBlob:0.147
190,Linguistic Analysis,meta_guided,1.0,1,textblob.TextBlob:0.270|textblob.TextBlob:0.227|textblob.TextBlob:0.192
200,Linguistic Analysis,meta_guided,-1.0,0,textblob.TextBlob:0.898|textblob.TextBlob:0.059|textblob.TextBlob:0.034
210,phase_online_linguistics.json,meta_guided,1.0,1,textblob.TextBlob:0.522|textblob.TextBlob:0.119|textblob.TextBlob:0.108
220,phase_online_linguistics.json,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
230,phase_online_linguistics.json,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
240,phase_online_linguistics.json,meta_guided,-1.0,0,textblob.TextBlob:1.000
250,phase_online_linguistics.json,meta_guided,-1.0,0,textblob.TextBlob:1.000
260,phase_online_linguistics.json,meta_guided,-1.0,0,textblob.TextBlob:1.000
270,phase_online_linguistics.json,meta_guided,-1.0,0,textblob.TextBlob:1.000
280,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
290,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
300,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:0.000
310,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
320,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
330,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
340,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
350,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000|arithmetic:0.010
360,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
370,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
380,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
390,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
400,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
410,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:0.000
420,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:1.000
430,Quantitative Synthesis,meta_guided,-1.0,0,textblob.TextBlob:0.000
