episode,phase,step0_tool,reward,success,top_patterns
0,Tool Familiarization,re_findall,-1.0,0,index:0.172|float:0.168|split:0.167
1,Tool Familiarization,index,-1.0,0,index:0.178|split:0.170|list_modules:0.170
2,Tool Familiarization,none,1.0,1,index:0.178|split:0.170|list_modules:0.170
3,Tool Familiarization,arithmetic,-1.0,0,index:0.155|list_modules:0.151|split:0.151
4,Tool Familiarization,none,1.0,1,index:0.155|list_modules:0.151|split:0.151
5,Tool Familiarization,none,1.0,1,index:0.155|list_modules:0.151|split:0.151
6,Tool Familiarization,none,1.0,1,index:0.155|list_modules:0.151|split:0.151
7,Tool Familiarization,none,1.0,1,index:0.155|list_modules:0.151|split:0.151
8,Tool Familiarization,none,1.0,1,index:0.155|list_modules:0.151|split:0.151
9,Tool Familiarization,index,-1.0,0,sympy.sympify:0.131|sympy.sympify:0.096|sympy.sympify:0.096
10,Tool Familiarization,sympy.sympify,-1.0,0,sympy.sympify:0.141|sympy.sympify:0.140|sympy.sympify:0.133
11,Tool Familiarization,none,1.0,1,sympy.sympify:0.141|sympy.sympify:0.140|sympy.sympify:0.133
12,Tool Familiarization,sympy.sympify,-1.0,0,sympy.sympify:0.169|sympy.sympify:0.150|operator.add:0.129
13,Tool Familiarization,none,1.0,1,sympy.sympify:0.169|sympy.sympify:0.150|operator.add:0.129
14,Tool Familiarization,none,1.0,1,sympy.sympify:0.169|sympy.sympify:0.150|operator.add:0.129
15,Tool Familiarization,operator.add,-1.0,0,sympy.sympify:0.169|sympy.sympify:0.145|operator.add:0.121
16,Tool Familiarization,none,1.0,1,sympy.sympify:0.169|sympy.sympify:0.145|operator.add:0.121
17,Tool Familiarization,sympy.sympify,-1.0,0,sympy.sympify:0.161|sympy.sympify:0.142|operator.add:0.118
18,Tool Familiarization,sympy.sympify,-1.0,0,sympy.sympify:0.155|sympy.sympify:0.140|operator.add:0.124
19,Tool Familiarization,sympy.sympify,-1.0,0,sympy.sympify:0.136|sympy.sympify:0.135|operator.add:0.130
20,Tool Familiarization,none,1.0,1,sympy.sympify:0.136|sympy.sympify:0.135|operator.add:0.130
21,Tool Familiarization,none,1.0,1,sympy.sympify:0.136|sympy.sympify:0.135|operator.add:0.130
22,Tool Familiarization,none,1.0,1,sympy.sympify:0.136|sympy.sympify:0.135|operator.add:0.130
23,Tool Familiarization,none,1.0,1,sympy.sympify:0.136|sympy.sympify:0.135|operator.add:0.130
24,Tool Familiarization,operator.add,-1.0,0,sympy.sympify:0.117|sympy.sympify:0.102|operator.add:0.095
