episode,phase,step0_tool,reward,success,top_patterns
0,Tool Familiarization,float,-1.0,0,re_findall:0.172|index:0.170|split:0.167
1,Tool Familiarization,none,1.0,1,re_findall:0.172|index:0.170|split:0.167
2,Tool Familiarization,arithmetic,-1.0,0,split:0.150|re_findall:0.150|index:0.147
3,Tool Familiarization,operator.add,-1.0,0,operator.add:0.225|split:0.145|re_findall:0.138
4,Tool Familiarization,none,1.0,1,operator.add:0.225|split:0.145|re_findall:0.138
5,Tool Familiarization,list_modules,-1.0,0,operator.add:0.328|operator.add:0.129|split:0.107
6,Tool Familiarization,none,1.0,1,operator.add:0.328|operator.add:0.129|split:0.107
7,Tool Familiarization,none,1.0,1,operator.add:0.328|operator.add:0.129|split:0.107
8,Tool Familiarization,float,-1.0,0,operator.add:0.376|operator.add:0.158|operator.add:0.103
9,Tool Familiarization,index,-1.0,0,operator.add:0.425|operator.add:0.217|operator.add:0.120
10,Tool Familiarization,none,1.0,1,operator.add:0.425|operator.add:0.217|operator.add:0.120
11,Tool Familiarization,none,1.0,1,operator.add:0.425|operator.add:0.217|operator.add:0.120
12,Tool Familiarization,none,1.0,1,operator.add:0.425|operator.add:0.217|operator.add:0.120
13,Tool Familiarization,operator.add,-1.0,0,operator.add:0.307|operator.add:0.218|operator.add:0.106
14,Tool Familiarization,sympy.sympify,-1.0,0,operator.add:0.269|operator.add:0.249|operator.add:0.117
15,Tool Familiarization,none,1.0,1,operator.add:0.269|operator.add:0.249|operator.add:0.117
16,Tool Familiarization,none,1.0,1,operator.add:0.269|operator.add:0.249|operator.add:0.117
17,Tool Familiarization,none,1.0,1,operator.add:0.269|operator.add:0.249|operator.add:0.117
18,Tool Familiarization,none,1.0,1,operator.add:0.269|operator.add:0.249|operator.add:0.117
19,Tool Familiarization,none,1.0,1,operator.add:0.269|operator.add:0.249|operator.add:0.117
20,Tool Familiarization,none,1.0,1,operator.add:0.269|operator.add:0.249|operator.add:0.117
21,Tool Familiarization,operator.add,-1.0,0,operator.add:0.197|operator.add:0.121|operator.add:0.079
22,Tool Familiarization,none,1.0,1,operator.add:0.197|operator.add:0.121|sympy.sympify:0.100
23,Tool Familiarization,none,1.0,1,operator.add:0.197|operator.add:0.121|sympy.sympify:0.100
24,Tool Familiarization,none,1.0,1,operator.add:0.197|operator.add:0.121|sympy.sympify:0.100
25,Tool Expansion,none,1.0,1,operator.add:0.197|operator.add:0.121|sympy.sympify:0.100
26,Tool Expansion,builtins.len,-1.0,0,operator.add:0.151|operator.add:0.077|sympy.sympify:0.067
27,Tool Expansion,none,1.0,1,operator.add:0.151|math.sqrt:0.100|operator.add:0.077
28,Tool Expansion,none,1.0,1,operator.add:0.151|math.sqrt:0.100|math.sqrt:0.100
29,Tool Expansion,none,1.0,1,operator.add:0.151|math.sqrt:0.100|math.sqrt:0.100
30,Tool Expansion,operator.add,-1.0,0,operator.add:0.113|operator.add:0.072|math.sqrt:0.068
31,Tool Expansion,operator.add,-1.0,0,operator.add:0.098|operator.add:0.089|math.sqrt:0.067
32,Tool Expansion,none,1.0,1,numpy.mean:0.100|operator.add:0.098|operator.add:0.089
33,Tool Expansion,operator.add,-1.0,0,operator.add:0.099|numpy.mean:0.077|operator.add:0.071
34,Tool Expansion,none,1.0,1,numpy.mean:0.100|operator.add:0.099|numpy.mean:0.077
35,Tool Expansion,operator.add,-1.0,0,operator.add:0.105|numpy.mean:0.080|operator.add:0.073
36,Tool Expansion,none,1.0,1,operator.add:0.105|math.sqrt:0.100|numpy.mean:0.080
37,Tool Expansion,operator.add,-1.0,0,operator.add:0.107|numpy.mean:0.077|operator.add:0.072
38,Tool Expansion,operator.add,-1.0,0,operator.add:0.116|numpy.mean:0.084|operator.add:0.074
